date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:59:07	72/72	---M--	200	added ('OK')	text/plain	date:Tue,%2030%20Jul%202019%2006:25:10%20GMT	https://designreset.com/robots.txt		(from )
15:59:07	109576/109576	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Nov%202022%2016:34:20%20GMT	https://designreset.com/cork/html/modern-light-menu/	E:/Templates/cork/designreset.com/cork/html/modern-light-menu/index.html	(from )
15:59:08	2539/2539	---M--	200	added ('OK')	text/css	date:Thu,%2024%20Nov%202022%2019:43:00%20GMT	https://designreset.com/cork/html/layouts/modern-light-menu/css/light/loader.css	E:/Templates/cork/designreset.com/cork/html/layouts/modern-light-menu/css/light/loader.css	(from https://designreset.com/cork/html/modern-light-menu/)
15:59:08	2628/2628	---M--	200	added ('OK')	text/css	date:Thu,%2024%20Nov%202022%2019:43:00%20GMT	https://designreset.com/cork/html/layouts/modern-light-menu/css/dark/loader.css	E:/Templates/cork/designreset.com/cork/html/layouts/modern-light-menu/css/dark/loader.css	(from https://designreset.com/cork/html/modern-light-menu/)
15:59:08	6257/6257	---M--	200	added ('OK')	application/javascript	date:Thu,%2027%20Oct%202022%2023:57:56%20GMT	https://designreset.com/cork/html/layouts/modern-light-menu/loader.js	E:/Templates/cork/designreset.com/cork/html/layouts/modern-light-menu/loader.js	(from https://designreset.com/cork/html/modern-light-menu/)
15:59:09	480/480	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Sep%202022%2001:33:24%20GMT	https://designreset.com/cork/html/layouts/modern-light-menu/css/light/plugins.css	E:/Templates/cork/designreset.com/cork/html/layouts/modern-light-menu/css/light/plugins.css	(from https://designreset.com/cork/html/modern-light-menu/)
15:59:09	413/413	---M--	200	added ('OK')	text/css	date:Mon,%2009%20May%202022%2003:23:26%20GMT	https://designreset.com/cork/html/layouts/modern-light-menu/css/dark/plugins.css	E:/Templates/cork/designreset.com/cork/html/layouts/modern-light-menu/css/dark/plugins.css	(from https://designreset.com/cork/html/modern-light-menu/)
15:59:09	194901/194901	---M--	200	added ('OK')	text/css	date:Sun,%2002%20Oct%202022%2018:07:38%20GMT	https://designreset.com/cork/html/src/bootstrap/css/bootstrap.min.css	E:/Templates/cork/designreset.com/cork/html/src/bootstrap/css/bootstrap.min.css	(from https://designreset.com/cork/html/modern-light-menu/)
15:59:09	13568/13568	---M--	200	added ('OK')	text/css	date:Tue,%2030%20Nov%202021%2010:04:20%20GMT	https://designreset.com/cork/html/src/plugins/src/apex/apexcharts.css	E:/Templates/cork/designreset.com/cork/html/src/plugins/src/apex/apexcharts.css	(from https://designreset.com/cork/html/modern-light-menu/)
15:59:10	90071/90071	---M--	200	added ('OK')	text/css	date:Thu,%2024%20Nov%202022%2002:32:46%20GMT	https://designreset.com/cork/html/src/assets/css/light/dashboard/dash_1.css	E:/Templates/cork/designreset.com/cork/html/src/assets/css/light/dashboard/dash_1.css	(from https://designreset.com/cork/html/modern-light-menu/)
15:59:10	4127/4127	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Dec%202021%2021:20:52%20GMT	https://designreset.com/cork/html/src/assets/img/profile-16.jpeg	E:/Templates/cork/designreset.com/cork/html/src/assets/img/profile-16.jpg	(from https://designreset.com/cork/html/modern-light-menu/)
15:59:10	94697/94697	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2020:15:44%20GMT	https://designreset.com/cork/html/src/assets/css/dark/dashboard/dash_1.css	E:/Templates/cork/designreset.com/cork/html/src/assets/css/dark/dashboard/dash_1.css	(from https://designreset.com/cork/html/modern-light-menu/)
15:59:10	4293/4293	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Dec%202021%2021:20:52%20GMT	https://designreset.com/cork/html/src/assets/img/profile-15.jpeg	E:/Templates/cork/designreset.com/cork/html/src/assets/img/profile-15.jpg	(from https://designreset.com/cork/html/modern-light-menu/)
15:59:11	4844/4844	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Dec%202021%2021:20:52%20GMT	https://designreset.com/cork/html/src/assets/img/profile-21.jpeg	E:/Templates/cork/designreset.com/cork/html/src/assets/img/profile-21.jpg	(from https://designreset.com/cork/html/modern-light-menu/)
15:59:11	16063/16063	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Dec%202021%2021:20:52%20GMT	https://designreset.com/cork/html/src/assets/img/profile-30.png	E:/Templates/cork/designreset.com/cork/html/src/assets/img/profile-30.png	(from https://designreset.com/cork/html/modern-light-menu/)
15:59:11	102045/102045	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Nov%202022%2016:35:08%20GMT	https://designreset.com/cork/html/modern-light-menu/user-profile.html	E:/Templates/cork/designreset.com/cork/html/modern-light-menu/user-profile.html	(from https://designreset.com/cork/html/modern-light-menu/)
15:59:11	306109/306109	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Nov%202022%2016:35:10%20GMT	https://designreset.com/cork/html/modern-light-menu/app-mailbox.html	E:/Templates/cork/designreset.com/cork/html/modern-light-menu/app-mailbox.html	(from https://designreset.com/cork/html/modern-light-menu/)
15:59:12	4114/4114	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2023:52:46%20GMT	https://designreset.com/cork/html/modern-light-menu/auth-boxed-lockscreen.html	E:/Templates/cork/designreset.com/cork/html/modern-light-menu/auth-boxed-lockscreen.html	(from https://designreset.com/cork/html/modern-light-menu/)
