date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:46:00	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-639c57d8-b0dba2d43a306af2;gz%22	https://maraviyainfotech.com/robots.txt		(from )
11:46:00	85377/85377	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2006:16:00%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/index.html	(from )
11:46:00	419/419	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Mar%202023%2006:16:00%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/favicon.png	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/favicon.png	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
11:46:01	156228/156228	---MCZ	200	added ('OK')	text/css	etag:W/%22aa1272633e7e552395d147a499bad186%22	https://pro.fontawesome.com/releases/v5.10.0/css/all.css	E:/Templates/Ekka(ecommerce)/pro.fontawesome.com/releases/v5.10.0/css/all.css	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
11:46:01	173597/173597	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Mar%202023%2006:16:01%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/css/bootstrap.css	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/css/bootstrap.css	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
11:46:01	53308/53308	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Mar%202023%2006:16:01%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/css/landing-style.css	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/css/landing-style.css	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
11:46:01	2995/2995	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Mar%202023%2006:16:01%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/css/landing-responsive.css	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/css/landing-responsive.css	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
11:46:02	85377/85377	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2006:16:01%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/index.html	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/index-2.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
11:46:02	896/896	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Mar%202023%2006:16:02%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/logo.png	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/logo.png	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
11:46:02	896/896	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Mar%202023%2006:16:02%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/logo-color.png	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/logo-color.png	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
11:46:04	73403/73403	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Mar%202023%2006:16:02%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/landing-desk-m.png	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/landing-desk-m.png	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
11:46:04	391470/391470	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2006:16:03%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/ekka-html/index.html	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/ekka-html/index.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
11:46:04	130143/130143	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Mar%202023%2006:16:02%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/landing-desk.png	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/landing-desk.png	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
11:46:04	316189/316189	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2006:16:04%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/ekka-html/demo-8.html	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/ekka-html/demo-8.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
11:46:04	52490/52490	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Mar%202023%2006:16:04%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/08.png	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/08.png	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
11:46:04	59136/59136	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Mar%202023%2006:16:04%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/01.png	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/01.png	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
11:46:05	320296/320296	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2006:16:04%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/ekka-html/demo-6.html	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/ekka-html/demo-6.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
11:46:05	76307/76307	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Mar%202023%2006:16:05%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/06.png	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/06.png	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
11:46:05	327734/327734	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2006:16:05%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/ekka-html/demo-7.html	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/ekka-html/demo-7.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
11:46:06	46453/46453	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Mar%202023%2006:16:05%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/07.png	E:/Templates/Ekka(ecommerce)/maraviyainfotech.com/projects/ekka/ekka-v34/landing-assets/img/07.png	(from https://maraviyainfotech.com/projects/ekka/ekka-v34/)
